id,author,title,venue,address,publisher,editor,date,volume,pages
0,m fahle and s edelman.,"long-term learning in vernier acuity: effects of stimulus orientation, range and of feedback.","vision research,",,,,,33(3),"397-412,"
1,"fahle, m. & edelman, s.","long-term learning in vernier acuity: effects of stimulus orientation, range and of feedback.","vision research,",,,,,"33,",397-412.
2,p.e. utgoff.,shift of bias for inductive concept-learning.,"machine learning: an artificial intelligence approach,",,"morgan kaufmann,","in r.s michalski, j.g. carbonell, and t.m. mitchell, editors,",1986.,,pages 107-148.
3,"utgoff, p.,","""shift of bias for inductive learning,"",","in machine learning:  an artificial intelligence approach,","los altos, ca,","morgan kaufman,","r. michalski, j. carbonell, and t. mitchell (eds.),",1986.,"vol. ii,","pp. 107-148,"
4,"utgoff, p.",shift of bias for inductive concept learning.,"machine learning ii,",,morgan kaufman.,"in michalski, r., carbonell, j., and mitchell, t., editors,",(1986).,,pages 107-148.
5,"p. utgoff,","""shift of bias for inductive learning,"",","in machine learning: an artificial intelligence approach,","los altos, ca,","morgan kaufman,","r. michalski, j. carbonell, and t. mitchell (eds.),",1986.,"vol. ii,","pp. 107-148,"
6,"utgoff, p.","""shift of bias for inductive concept learning"",","machine learning: an ai approach,","los altos, ca:","morgan kaufmann),","eds) in michalski r., carbonell j. & mitchell t.(",(1985).,vol. ii.,pp.107-148.
7,"utgoff, p.",shift of bias for inductive concept learning.,"machine learning: an artificial intelligence approach,",,morgan kaufman.,"in michalski, r. s., carbonell, j. g., & mitchell, t. m. (eds.),",(1986).,"vol. ii,",pp. 107-148.
8,"utgoff, p.",shift of bias for inductive concept learning.,"machine learning,","los altos, ca.","morgan kaufmann,","in michalski, r., carbonell, j., and mitchell, t., editors,",(1986).,"volume 2,",pages 163-190.
9,"utgoff, p.",shift of bias for inductive concept learning.,"in machine learning,","los altos, ca.","morgan kaufmann,",,(1986).,volume 2.,
10,"utgoff, p.",shift of bias for inductive concept learning.,"machine learning: an artificial intelligence approach,","los altos, ca:",morgan kauf-mann.,,(1986).,volume 2.,
11,"utgoff, p.",shift of bias for inductive concept learning.,machine learning: an artificial intelligence approach ii.,"los altos, ca.",morgan kaufmann:,"editors in michalski, r.; carbonell, j.; and mitchell, t.,","1986,",,107-148.
12,"utgoff, p. e.",shift of bias for inductive concept learning.,machine learning.,,,"in r. s. michalski, j. g. carbonell, & t.",(1986).,,
13,"utgoff, p. e.",shift of bias for inductive concept learning.,machine learning: an artificial intelligence approach.,"san mateo, ca:",morgan kaufmann.,"in michalski, carbonell & mitchell (eds.),",(1986).,,
14,"utgoff, p. e.",shift of bias for inductive concept learning.,"machine learning,","san mateo, ca:",morgan kaufmann.,"in michalski, carbonell, & mitchell (eds.),",(1986).,"vol. 2, chap. 5,",pp. 107-148.
15,"utgoff, p. e.",shift of bias for inductive concept learning.,"machine learning: an artificial intelligence approach,","los altos, ca.","morgan kaufmann,","in michalski, r., carbonell, j., & mitchell, t. (eds.),",(1986).,"vol. ii,",pp. 107-148.
16,"utgoff, p. e.",shift of bias for inductive concept learning.,,,,"in r. s. michalski, j. g.",1986.,,
17,"utgoff, p. e.,",shift of bias for inductive concept learning.,in machine learning:  an artificial intelligence approach:,,,eds r.,1986.,"volume ii,",
18,"utgoff, p.,","shift of bias for inductive concept learning,",in machine learning:  an artificial intelligence approach,,"morgan kaufmann publishers,","michalski, r.s., carbonell, j.g., and mitchell, t. m. (eds.),",,"vol. ii,",
19,"utgoff, p.e.",shift of bias for inductive concept learning.,,,,"in j.g.  carbonell, r.s.",(1986).,,
20,"utgoff, p.e.,","shift of bias for inductive learning,","machine learning: an artificial intelligence approach,","los altos, ca,","morgan kaufmann,","j.g. carbonell and t.m. mitchell (eds.) r.s. michalski (eds.),",1986.,"vol. ii,",
21,"utgoff, paul e.",shift of bias for inductive concept learning.,,,,"in r. t. michalski, j. carbonell,",(1986).,,
22,p.e. utgoff.,shift of bias for inductive concept learning.,"machine learning: an artificial intelligence approach,",,"morgan kaufmann,","in r.s. michalski, j.g. carbonell, and t.m. mitchell, editors,",1986.,volume ii.,
23,"utgoff, p. e.",shift of bias of induc tive concept learning.,"machine learning: an artificial intelligence approach,",,morgan kaufmann publishers.,"in michalski, r.s.; carbonell, j.g.; and t.m., mitchell,","1986,",vol ii.,107-148.
24,p. e. utgoff.,shift of bias for inductive concept learning.,in machine learning,,"morgan kaufman,",,1986.,ii.,
25,"p. utgoff,","shift of bias for inductive concept learning,","machine learning: an artificial intelligence approach 2 (springer-verlag,","palo alto (ca),",,"in: r.s. mickalski, j.g. carbonell and t.m. mitchell, eds.,",1986),,107-149.
26,p. utgoff.,shift of bias for inductive concept learning.,"in machine learning:  an artificial intelligence approach,","san mateo, ca, usa,","morgan kaufmann,",,1986.,volume iii.,
27,"utgoff, p.",shift of bias for inductive concept learning.,machine learning: an artificial intelligence approach:,los altos:,morgan kaufmann.,"in r. michal ski, j. carbonell and t. mitchell (eds.),",(1986).,vol ii,(pp.  107-148
28,p. e. utgoff.,shift of bias for inductive concept learning.,"machine learning: an artificial intelligence approach,","los altos, ca,",morgan kaufmann.,"in r. s. michalski, j. g. carbonell, and t. m. mitchell, editors,",1986.,10,"pages 107-148,"
29,p. utgoff.,shift of bias for inductive concept learning.,"in machine learning,","los altos, ca,","morgan kaufmann,",,1986.,volume 2.,
30,p. utgoff.,shift of bias for inductive concept learning.,"machine learning,","los altos, ca,","morgan kauf-mann,","in r. michalski, j. carbonell, and t. mitchell, editors,",1986.,"volume 2,",pages 163-190.
31,p. utgoff.,shift of bias for inductive concept learning.,"machine learning,","los altos, ca,","morgan kaufmann,","in r. michalski, j. carbonell, and t. mitchell, editors,",1986.,"volume 2,",pages 163-190.
