ltable_id,rtable_id,gold
958,206,0
155,401,0
120,781,0
239,529,0
231,786,0
15,93,0
226,775,0
1,12,0
210,611,0
133,215,0
83,274,0
365,369,1
254,412,0
18,806,0
918,840,0
65,290,0
225,456,0
362,816,0
282,599,0
279,328,0
509,602,0
27,72,0
462,489,0
364,457,0
117,780,0
377,450,0
439,648,0
31,451,0
202,262,0
260,759,0
21,114,0
495,753,0
313,973,0
266,807,0
59,68,0
483,800,0
782,813,1
442,756,0
462,750,0
52,243,0
649,696,0
105,425,0
473,636,0
491,533,0
28,216,0
267,723,0
117,204,0
242,507,0
47,579,0
546,764,0
30,277,0
947,565,0
195,403,0
611,715,0
481,702,0
552,597,0
12,500,0
142,177,0
759,848,0
39,448,0
461,581,0
105,857,0
278,842,0
697,735,1
9,807,0
363,640,0
655,865,0
468,812,0
132,586,0
78,842,0
18,169,0
933,666,0
445,473,1
453,454,1
165,263,0
462,894,0
243,876,0
1,462,0
130,608,0
149,924,0
75,587,0
205,521,0
216,870,0
67,569,0
800,809,1
286,369,0
336,821,0
126,234,0
771,867,0
105,302,0
335,503,0
294,450,0
15,399,0
408,871,0
608,856,0
602,790,0
146,186,0
618,831,0
129,606,0
104,486,0
109,656,0
492,868,0
106,793,0
97,157,0
96,521,0
32,360,0
207,762,0
103,871,0
470,724,0
444,670,0
15,483,0
212,302,0
447,907,0
811,837,1
269,728,0
824,884,0
212,472,0
50,232,0
225,914,0
148,980,0
251,308,0
11,432,0
281,935,0
297,657,0
67,496,0
507,812,0
373,480,0
31,894,0
287,507,0
332,858,0
109,288,0
594,602,0
463,707,0
344,687,0
953,959,0
949,770,0
939,815,0
52,771,0
36,365,0
274,438,0
462,581,0
115,938,0
72,508,0
198,935,0
362,956,0
266,878,0
281,915,0
678,690,1
278,777,0
593,607,0
204,749,0
196,825,0
187,509,0
455,915,0
464,714,0
410,427,0
437,730,0
196,624,0
606,799,0
71,111,0
191,194,1
750,784,0
46,432,0
281,457,0
201,858,0
756,885,0
223,831,0
226,689,0
125,804,0
186,490,0
980,762,0
3,453,0
193,587,0
125,599,0
169,284,0
255,840,0
174,336,0
868,871,1
75,368,0
153,187,0
103,495,0
698,720,1
472,893,0
938,291,0
602,689,0
938,422,0
759,896,0
210,390,0
908,907,0
627,874,0
26,229,0
307,534,0
278,573,0
947,668,0
209,815,0
967,335,0
137,148,0
302,894,0
127,885,0
950,708,0
430,919,0
121,279,0
135,441,0
75,423,0
590,808,0
21,38,1
240,627,0
148,828,0
196,328,0
625,820,0
120,789,0
904,218,0
56,237,0
395,849,0
423,497,0
290,401,0
21,123,0
198,257,0
1,847,0
106,857,0
421,882,0
597,749,0
397,507,0
185,566,0
626,775,0
37,47,0
70,752,0
102,643,0
114,552,0
469,642,0
164,669,0
70,716,0
235,838,0
277,528,0
930,758,0
399,455,0
254,749,0
245,797,0
630,804,0
333,489,0
402,833,0
414,586,0
146,269,0
190,275,0
428,453,0
902,821,0
224,685,0
552,884,0
330,373,0
35,937,0
204,943,0
26,242,0
202,483,0
334,456,0
116,127,0
261,842,0
107,742,0
321,760,0
482,668,0
266,328,0
13,120,0
135,567,0
