ltable_id,rtable_id,gold
journals/sigmod/GalianoM03,959083,0
conf/vldb/WeikumMHZ02,564790,0
conf/vldb/OoiYTJ01,765504,0
conf/vldb/LiHKSPAC02,637420,0
journals/sigmod/JensenCEGHJ94,191972,0
journals/vldb/FernandezFLS00,671679,0
conf/sigmod/ChanI99,304190,0
journals/sigmod/SureSS02,564786,0
conf/sigmod/LiVCAHMWBCHIKSS99,304203,0
conf/vldb/BaumannFRW97,271096,0
journals/vldb/SheikholeslamiCZ00,352963,0
conf/sigmod/GriffinH97,671015,0
journals/vldb/LeeSC01,767151,0
conf/vldb/KoudasS03,950485,0
journals/vldb/ManegoldBK00,671680,0
journals/sigmod/ChaudhuriD97,253335,0
journals/vldb/SaltenisJ02,564784,0
journals/sigmod/FreemanG96,232796,0
conf/sigmod/JonssonFS98,290597,0
conf/sigmod/Carey94,187455,0
journals/sigmod/Wiegand03,872837,0
conf/sigmod/WuAA01,672356,0
conf/sigmod/BilirisFOP96,234898,0
conf/sigmod/NgLK98,276314,0
conf/vldb/MedianoCD94,191942,0
conf/vldb/Koch03,945734,0
conf/sigmod/ZhaoDN97,253347,0
conf/sigmod/MumickQM97,765557,0
conf/vldb/HeymannTKWRMF02,564779,0
journals/vldb/MehtaD97,673653,0
journals/sigmod/BollKB98,765521,0
journals/sigmod/DogacAOD95,223892,0
journals/sigmod/CareyS99,758375,0
conf/vldb/DongHLPW01,672176,1
journals/tods/Hellerstein98,276333,0
conf/vldb/ChatziantoniouR96,234896,0
journals/sigmod/YuenCLL00,671836,0
conf/vldb/BlottKS98,276389,0
journals/sigmod/Seshadri98,276389,0
conf/vldb/FlodinR95,223856,0
journals/tods/WandSW99,331989,1
journals/vldb/VaghaniRKSSLH94,191860,0
conf/vldb/MorishimaKKT01,767153,0
journals/sigmod/Wiegand03,872809,0
conf/sigmod/BreunigKKS01,672188,0
conf/vldb/HulgeriS02,564723,0
journals/sigmod/ShethMKA01,375678,0
conf/sigmod/MissikoffT94,672980,0
conf/vldb/JohnsonM98,671327,1
journals/sigmod/Nascimento03,950491,0
conf/vldb/DattaRT99,333614,0
conf/vldb/OzdenBRS94,191848,0
conf/vldb/SrinivasaK03,872774,0
journals/vldb/RamanRH00,765239,1
journals/sigmod/NascimentoM99,333609,0
journals/sigmod/Badia02,564751,0
journals/sigmod/ShahMFH01,375737,0
conf/sigmod/GillmannWSWW00,336575,0
conf/vldb/Gibbons01,375769,0
conf/sigmod/PapadiasTSE95,223881,0
conf/sigmod/GeorgeH97,671009,0
conf/vldb/VermeerA96,673494,0
journals/sigmod/DoanPK95,673132,0
conf/vldb/AgrawalS94,191850,0
journals/vldb/PanagosB97,253294,0
conf/vldb/BrodieC99,304228,0
conf/vldb/ZhuS02,564768,0
conf/vldb/HeMYW03,872768,0
journals/vldb/AslanM99,765512,1
conf/vldb/TatbulCZCS03,872774,0
journals/tods/KotidisR01,672202,0
journals/sigmod/BarbaraS97,249980,0
conf/sigmod/AgrawalCFGHIIMMSS94,672841,0
conf/vldb/KoudasMJ99,344839,0
conf/sigmod/Aggarwal03,872835,0
conf/sigmod/GoelI96,673490,0
journals/sigmod/PalpanasPKG03,959072,0
conf/vldb/BaralisW94,191852,0
journals/sigmod/SmithO99,304248,0
conf/sigmod/ChungMS02,507349,0
journals/tods/AikenHW95,219766,0
conf/sigmod/ChawatheRGW96,233366,1
conf/vldb/Sondag01,375798,0
journals/sigmod/KarlapalemLS95,223854,0
conf/sigmod/WangPFY03,872855,0
conf/vldb/ChenJLP03,640995,0
journals/sigmod/MukhopadhyayGS03,953241,0
conf/vldb/Adler01,758383,1
conf/sigmod/KornJF97,249980,0
conf/vldb/AbiteboulMRVW98,276371,0
journals/tods/GoldmanL94,615201,0
conf/vldb/Graefe99,344864,0
journals/vldb/DerrMP94,191927,0
conf/vldb/BraumandlCK98,671200,0
conf/sigmod/Freeston95,202107,0
journals/sigmod/HasselbringHHKRRS00,335422,0
journals/sigmod/TianDCZ02,582411,0
journals/tods/MuralidharS99,671361,0
conf/sigmod/AdelbergGK95,673158,0
conf/sigmod/WangCMSSZ94,187442,0
conf/sigmod/JosifovskiSHL02,564697,0
conf/vldb/ChakravarthyKAK94,181557,0
conf/vldb/SevcikK96,758367,0
journals/sigmod/Cetintemel01,604284,1
conf/vldb/StohrR01,503100,0
conf/vldb/BouganimFV96,232801,0
conf/vldb/AnciauxBP03,776991,0
journals/tods/YanG99,304586,0
conf/vldb/YuSLJ02,564706,0
journals/sigmod/YuenCLL00,335384,0
conf/sigmod/ChoALS03,872868,0
conf/sigmod/Dyreson03,775453,0
journals/sigmod/Gal99,304590,0
conf/vldb/MaratheS97,673639,0
journals/sigmod/Zhang95,223903,0
conf/vldb/SubietaKL95,673143,0
journals/sigmod/AnyanwuS02,565134,0
