ltable_id,rtable_id,gold
conf/sigmod/LiC95,CWmL7TxRQ44J,0
journals/sigmod/FrankNS02,Rpgyy-1fmY0J,0
conf/vldb/LakshmananJN00,4k4fUbwNV8UJ,0
journals/sigmod/SmithO99,bbdecz2VGtIJ,0
conf/vldb/EsterKSWX98,x92Yw8H9uH4J,0
journals/sigmod/SilberschatzSU96,3nXBlVy0-HUJ,1
journals/tods/FraternaliT95,kddXBLl1b9oJ,0
journals/sigmod/GalianoM03,iXEsD-fRSwMJ,0
journals/sigmod/Winslett01a,TagQk4X7Je0J,0
conf/sigmod/PapadiasTSE95,8NEvPOkeO5gJ,0
conf/vldb/BaralisPT97,7SN95wCmfUwJ,0
conf/vldb/ShahDR03,f9MPbT0jUGsJ,0
conf/vldb/LlirbatST97,v1fsWCSPn2MJ,1
journals/tods/FernandezKSMT02,t_-caYjleSQJ,0
journals/sigmod/GerlhofKM96,HxskERt_Fi8J,0
journals/sigmod/BarbaraBFLS94,zZ9NI8VJJTMJ,0
conf/vldb/AgrawalLSS95,Mdm5rLTdGeQJ,0
journals/tods/FormicaGM98,QOZIguNHpT4J,0
journals/vldb/ChenHY97,IBZBrrsG5cQJ,0
conf/sigmod/RodriguezR00,0AwSc88rnUIJ,0
journals/vldb/KrivokapicKG99,jmTe2JwKfVYJ,0
conf/sigmod/Cabrera03,NN8a0RhNBfAJ,0
conf/vldb/ShuklaDNR96,HItpqMOcE8gJ,0
journals/tods/HsuSY01,BR97rv-r0S0J,0
conf/sigmod/Vaskevitch94,O11wyIuGkoUJ,0
conf/vldb/LaudBCSR02,QLlxE5mJOisJ,0
journals/tods/AikenHW95,VBMXtqOW_EUJ,0
journals/sigmod/KokkotosIPS95,url:http://www.csa.com/partners/viewrecord.php%3Frequester%3Dgs%26collection%3DTRD%26recid%3D017405530113AI,0
journals/sigmod/Winslett01,A1pkyvsaImcJ,0
conf/vldb/WeberSB98,a9BwchkajwgJ,0
journals/sigmod/BarbaraCJW01,kzbRqHO_TUEJ,0
conf/vldb/Koch03,BEpwgIQR6r4J,0
conf/sigmod/FernandezS96,tXJCsxExp30J,0
conf/vldb/Moerkotte98,DthLmzBqgfQJ,0
conf/sigmod/BouguettayaBH99,url:http://portal.acm.org/citation.cfm%3Fid%3D565117.565131%26dl%3DGUIDE%26dl%3DACM%26idx%3DJ689%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520SIGMOD%2520Record%26CFID%3D11111111%26CFTOKEN%3D2222222,0
conf/sigmod/Kim94,0Mw4sFUbuwsJ,0
journals/sigmod/Winslett01a,-MepYdjS21AJ,0
conf/vldb/BrinkhoffK94,Ywyq7UuG6z8J,0
conf/vldb/Campbell99,JMkb2vl7jT4J,0
conf/vldb/SrinivasaK03,yrBhsi8zU3EJ,0
journals/vldb/HuangDT99,KUGjzt-IgpoJ,0
conf/sigmod/DattaDTVSR02,rg8576nvnkUJ,0
conf/vldb/BerchtoldKK96,4DV7r4cK1j8J,0
journals/sigmod/HuangKL02,url:http://pubs.acs.org/cgi-bin/abstract.cgi/achre4/2005/38/i03/abs/ar040234d.html,0
conf/sigmod/BabuGR01,Fb4oYRM9N4EJ,0
journals/sigmod/CruzKLSWY02,t6uc2PpTDiYJ,0
conf/sigmod/ForlizziGNS00,UUkDngPwOyYJ,0
conf/sigmod/MaddenFHH03,qqSzKfDwV7kJ,0
journals/vldb/AntoshenkovZ96,rZpqv_CTBRMJ,0
journals/sigmod/ConradEHRSSSV97,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D507367%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,0
journals/vldb/CliftonGB95,8CNEtfSuzpYJ,0
conf/vldb/DarmontS99,KHWOHqy_gEwJ,0
conf/vldb/KnorrN99,7lkCBMe603kJ,1
conf/vldb/OrensteinK95,AevsYZEQ4ToJ,0
conf/vldb/SrinivasaK03,cV3tb9nbtaIJ,0
conf/sigmod/Aggarwal02,rSTewQ1dQkYJ,0
conf/vldb/NgH94,bnd0xJYh-HoJ,0
conf/sigmod/WodtkeWWDM97,tnXqwH3BXW0J,1
journals/sigmod/Bussler02,5mrLrphf1GAJ,0
journals/tods/Bohm00,woy-goyQsNUJ,0
conf/sigmod/NguyenS96,U2HLPO9-TJ0J,0
conf/vldb/SrinivasaK03,eeC-nqOG3bAJ,0
conf/sigmod/PapadiasTSE95,NKjEKRvvO2cJ,0
conf/vldb/DeutschT03,5I0ArBmDRcEJ,0
conf/vldb/ArunJ98,DeYVyUJxkGEJ,0
conf/vldb/KonopnickiS95,fAZ2KwztkLoJ,1
journals/vldb/ShyyASL96,Ogzag2sy5EMJ,0
journals/sigmod/Wedekind94,lgvXa0QOAtgJ,0
conf/vldb/ChakrabartiM00,y_gKGtzupHIJ,0
