ltable_id,rtable_id,gold
642,222,0
1050,43,0
816,168,0
562,247,1
936,169,0
1018,291,0
955,280,0
1066,12,0
798,310,0
739,203,0
797,115,0
1066,290,0
595,1,0
732,148,0
658,147,0
585,246,0
732,290,0
657,144,0
625,185,0
597,40,0
936,166,0
817,298,0
739,275,0
599,209,0
736,13,0
657,13,0
543,1,0
803,218,0
737,36,0
585,287,0
560,284,0
875,175,0
885,123,0
633,15,0
811,254,0
544,116,0
995,275,0
759,10,0
739,115,0
631,308,0
585,222,0
652,73,0
751,304,0
967,245,0
642,78,0
631,275,0
1025,288,0
608,293,1
644,309,0
744,189,0
963,73,0
674,193,0
960,146,0
561,48,0
995,222,0
703,146,0
569,218,0
698,66,0
550,235,1
685,134,0
612,297,1
590,78,0
708,142,0
894,228,0
543,303,0
544,295,0
619,90,0
739,316,0
1053,218,0
623,33,0
1007,245,0
741,12,0
759,12,0
549,138,0
752,228,0
901,181,0
866,60,0
675,41,0
842,144,0
642,43,0
1004,297,0
918,309,0
549,119,0
1018,69,0
595,179,0
585,78,0
969,119,0
573,35,0
979,198,0
1007,144,0
1050,193,0
926,177,0
876,276,0
653,254,0
543,290,0
736,72,0
895,20,0
1049,12,0
797,10,0
560,78,0
766,222,0
928,146,0
952,280,0
842,316,0
983,138,0
1049,10,0
736,308,0
652,288,0
1025,231,0
766,308,0
786,23,0
737,72,0
1007,275,0
560,287,0
716,91,0
752,254,0
581,303,0
738,215,0
1017,238,0
623,222,0
597,146,0
595,143,0
760,246,0
995,188,0
738,23,0
560,308,0
777,246,0
996,245,0
996,215,0
865,327,0
888,48,0
1046,270,0
967,327,0
738,316,0
594,279,1
866,185,0
549,1,0
787,100,0
737,331,0
549,143,0
786,72,0
777,287,0
760,284,0
739,246,0
771,43,0
766,150,0
560,13,0
1007,13,0
573,202,0
805,193,0
739,78,0
574,90,0
589,309,0
798,123,0
766,43,0
739,144,0
606,69,0
797,316,0
657,316,0
905,144,0
538,223,1
776,203,0
760,144,0
958,145,0
657,33,0
753,318,0
732,78,0
766,149,0
674,209,0
1007,23,0
866,167,0
597,20,0
846,33,0
842,10,0
1066,67,0
606,163,0
631,222,0
738,33,0
835,316,0
888,72,0
865,72,0
829,255,0
1012,51,0
585,209,0
708,245,0
585,327,0
585,48,0
846,48,0
879,218,0
600,285,1
786,203,0
960,119,0
703,1,0
1051,78,0
921,327,0
1053,67,0
657,150,0
954,48,0
1046,13,0
676,82,0
1064,7,0
1054,301,0
662,163,0
786,270,0
1026,288,0
781,37,0
740,43,0
732,203,0
967,78,0
637,185,0
558,243,1
1005,289,0
996,287,0
597,282,1
675,67,0
921,72,0
797,43,0
642,115,0
551,1,0
888,316,0
771,78,0
771,115,0
760,150,0
739,33,0
537,275,0
574,35,0
703,21,0
776,193,0
776,284,0
888,331,0
921,23,0
537,33,0
544,197,0
1046,149,0
543,40,0
741,215,0
625,183,0
597,21,0
736,33,0
983,20,0
549,228,0
894,125,0
658,145,0
642,23,0
537,115,0
657,43,0
595,125,0
926,156,0
927,158,0
930,22,0
995,245,0
1051,188,0
602,150,0
927,1,0
592,277,1
595,219,0
551,4,0
879,228,0
602,246,0
551,226,0
652,237,0
786,316,0
842,308,0
846,43,0
739,327,0
674,270,0
663,10,0
797,203,0
594,142,0
895,124,0
740,246,0
1026,296,0
936,168,0
927,176,0
602,188,0
1007,12,0
803,91,0
777,43,0
1026,260,0
966,331,0
560,270,0
835,209,0
737,202,0
983,146,0
590,287,0
1053,120,0
798,183,0
739,72,0
703,301,0
568,67,0
599,215,0
786,10,0
888,209,0
938,161,0
926,148,0
827,288,0
663,144,0
811,91,0
936,37,0
798,116,0
735,284,0
697,116,0
835,48,0
936,202,0
928,125,0
1066,275,0
954,188,0
654,220,0
695,301,0
826,288,0
924,218,0
741,150,0
771,327,0
642,13,0
1046,203,0
894,226,0
1012,228,0
561,33,0
637,66,0
805,270,0
585,12,0
543,291,0
1046,150,0
543,146,0
568,309,0
638,89,0
751,323,0
543,51,0
737,188,0
599,246,0
954,222,0
644,148,0
928,158,0
684,298,0
921,246,0
921,150,0
1001,264,0
766,144,0
674,10,0
737,270,0
824,231,0
759,331,0
898,120,0
927,143,0
888,327,0
905,12,0
631,270,0
811,228,0
983,280,0
602,144,0
653,91,0
752,100,0
571,256,1
1050,331,0
674,144,0
760,23,0
776,149,0
623,275,0
747,189,0
657,246,0
590,33,0
879,51,0
752,120,0
568,254,0
888,275,0
741,327,0
1018,322,0
1049,327,0
698,167,0
1050,327,0
1018,60,0
888,287,0
682,296,0
599,43,0
732,245,0
589,305,0
583,288,0
914,145,0
642,150,0
708,23,0
1049,150,0
674,284,0
737,193,0
741,287,0
777,115,0
932,290,0
619,36,0
962,167,0
631,316,1
817,148,0
995,284,0
1049,78,0
996,246,0
624,310,0
927,119,0
1051,209,0
695,119,0
602,209,0
930,93,0
599,284,1
967,149,0
846,149,0
926,136,0
991,146,0
581,290,0
771,188,0
735,72,0
848,270,0
868,57,0
708,215,0
543,254,0
936,258,0
736,78,0
590,193,0
557,124,0
817,24,0
996,203,0
695,236,0
771,275,0
551,158,0
978,174,0
681,288,0
1007,115,0
603,288,1
921,316,0
573,259,0
599,193,0
738,245,0
561,13,0
995,23,0
842,331,0
995,144,0
895,146,0
745,189,0
619,304,1
569,51,0
588,273,1
619,89,0
983,226,0
570,282,0
618,303,1
918,308,0
576,261,1
657,275,0
881,183,0
682,231,0
741,72,0
581,120,0
626,311,1
797,144,0
960,292,0
603,296,0
817,197,0
823,288,0
966,275,0
699,224,0
631,203,0
703,176,0
738,72,0
894,40,0
739,284,0
955,302,0
554,137,0
1053,254,0
592,248,0
953,212,0
927,4,0
581,266,1
895,228,0
842,150,0
599,327,0
1007,215,0
585,10,0
1007,150,0
597,199,0
717,317,0
737,275,0
569,120,0
927,291,0
642,188,0
966,13,0
829,282,0
1049,287,0
822,260,0
737,323,0
1053,290,0
995,215,0
755,67,0
663,203,0
817,183,0
736,275,0
936,175,0
642,48,0
737,316,0
760,245,0
559,244,1
766,48,0
1050,287,0
736,215,0
966,270,0
539,199,0
863,22,0
543,125,0
1050,203,0
816,90,0
644,177,0
551,50,0
888,13,0
561,203,0
865,203,0
943,41,0
805,23,0
684,310,0
865,13,0
928,226,0
777,203,0
551,40,0
703,40,0
698,126,0
777,150,0
751,31,0
771,270,0
703,158,0
928,228,0
805,43,0
663,43,0
928,20,0
684,185,0
732,331,0
960,4,0
739,10,0
739,215,0
1051,246,0
755,120,0
1054,143,0
716,303,0
735,48,0
1050,10,0
886,220,0
1054,40,0
937,112,0
751,35,0
835,246,0
599,13,0
603,260,0
1016,7,0
824,288,0
776,72,0
657,327,0
738,275,0
800,264,0
740,23,0
1051,23,0
708,209,0
631,215,0
612,309,0
760,10,0
950,62,0
932,266,0
623,78,0
537,331,0
1050,209,0
549,158,0
689,126,0
741,149,0
1054,146,0
878,113,0
561,188,0
908,264,0
619,323,0
936,36,0
786,188,0
921,193,0
631,209,0
581,228,0
835,331,0
623,327,0
835,327,0
928,234,0
560,188,0
623,150,0
771,72,0
560,203,0
921,13,0
1051,48,0
569,41,0
602,13,0
866,291,0
996,284,0
722,41,0
599,33,0
817,177,0
625,176,0
766,246,0
914,161,0
684,196,0
708,275,0
663,149,0
875,322,0
811,51,0
1046,316,0
561,209,0
967,287,0
590,13,0
708,316,0
979,297,0
549,292,0
649,238,0
930,9,0
967,275,0
590,72,0
663,222,0
816,202,0
546,288,0
615,127,0
740,12,0
786,284,0
1049,203,0
736,203,0
974,221,0
736,284,0
895,242,0
797,150,0
865,275,0
590,149,0
967,284,0
606,104,0
895,301,0
534,134,0
966,150,0
735,246,0
879,254,0
537,245,0
631,72,0
942,267,0
708,270,0
606,126,0
597,234,0
549,101,0
688,277,0
786,275,0
653,51,0
805,13,0
623,48,0
568,51,0
755,218,0
585,149,0
1012,218,0
537,203,0
811,218,0
551,301,0
888,12,0
585,43,0
698,108,0
846,327,0
602,270,0
703,138,0
978,218,0
847,115,0
739,23,0
537,284,0
1054,291,0
741,43,0
898,254,0
954,144,0
866,126,0
585,144,0
653,218,0
954,72,0
585,270,1
885,116,0
888,245,0
602,48,0
921,331,0
1025,296,0
606,115,0
766,270,0
777,270,0
771,245,0
998,153,0
625,24,0
549,282,0
1064,237,0
638,304,0
573,258,1
560,72,0
960,138,0
953,254,0
590,327,0
732,183,0
967,115,0
627,312,1
1046,144,0
560,246,0
552,146,0
631,193,0
865,48,0
553,238,1
759,13,0
543,138,0
758,209,0
797,327,0
760,33,0
966,149,0
966,316,0
738,222,0
927,179,0
585,331,0
623,297,0
623,193,0
888,284,0
760,287,0
684,136,0
777,222,0
786,13,0
1046,10,0
755,254,0
675,100,0
875,60,0
955,126,0
741,209,0
820,231,0
960,228,0
966,78,0
960,176,0
642,72,0
797,48,0
551,179,0
621,306,1
579,264,1
1049,209,0
573,37,0
1050,270,0
742,189,0
631,78,0
759,150,0
663,193,0
590,48,0
534,171,0
741,270,0
875,126,0
739,287,0
771,215,0
644,305,0
574,259,1
698,163,0
865,23,0
846,115,0
847,262,0
642,331,0
595,158,0
771,222,0
800,124,0
751,258,0
590,12,0
835,215,0
1066,327,0
599,149,0
798,177,0
544,207,0
951,113,0
766,115,0
681,231,0
599,115,0
735,13,0
846,215,0
568,218,0
966,188,0
544,156,0
569,303,0
618,91,0
842,167,0
735,144,0
732,185,0
966,209,0
617,163,0
847,60,0
606,60,0
996,115,0
657,237,0
888,215,0
998,73,0
739,270,0
865,270,0
1046,327,0
1046,275,0
690,329,0
811,303,0
674,33,0
982,83,0
921,33,0
930,106,0
547,232,1
758,41,0
738,78,0
866,69,0
888,150,0
605,277,0
595,301,0
630,315,1
777,78,0
1049,33,0
885,185,0
842,246,0
901,145,0
623,12,0
677,228,0
625,207,0
1066,203,0
708,287,0
739,245,0
736,144,0
676,238,0
888,308,0
735,78,0
737,31,0
1066,266,0
537,193,0
741,188,0
966,115,0
537,12,0
797,23,0
926,298,0
543,158,0
894,20,0
549,301,0
1049,270,0
1034,99,0
965,83,0
695,20,0
952,171,0
905,13,0
955,219,0
563,8,0
1050,115,0
698,115,0
1050,316,0
554,239,1
766,284,0
928,179,0
674,246,0
581,51,0
776,209,0
623,215,0
1051,287,0
663,284,0
732,275,0
1012,303,0
816,201,0
658,113,0
973,20,0
738,13,0
921,144,0
543,228,1
777,13,0
847,163,0
752,183,0
560,12,0
894,4,0
805,308,0
537,150,0
677,67,0
703,234,0
737,150,0
842,193,0
895,179,0
567,252,1
737,78,0
951,270,0
751,36,0
967,33,0
898,91,0
597,226,0
